,name,lat,lon,distance
0,Basketball With Coach Randall,37.787343,-122.417296,313.0
1,Bay City Basketball,37.797611,-122.421846,916.0
2,Steam Basketball,41.879803,-87.626612,709.0
3,National Basketball Retired,41.877933,-87.633218,734.0
4,Legends of Basketball,41.877827,-87.633182,746.0
5,Grand Plaza Basketball Court,41.891953,-87.62858,878.0
6,Alta at K Station Basketball/Volleyball Court,41.888807,-87.642673,980.0
