,name,lat,lon,distance,type
0,Vegan Picnic Polk St,37.788913,-122.420686,302.0,Deli
1,Golden Era Vegan Restaurant,37.781213,-122.416719,977.0,Vegan and Vegetarian Restaurant
2,Wow Baguio - Vegan Pasalubong and Snack Shop,21.312527,-157.861808,640.0,Asian Restaurant
